class_name	slot_group	slot_uri	name	title	range	range_2	unit	identifier	multivalued	minimum_cardinality	maximum_cardinality	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	annotations
CommunityCompositionData	General		Achillea.millefolium		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Agropyron.caninum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Agropyron.cristatum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Agroseris.glauca		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Allium.stellatum		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Allium.textile		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Ambrosia.psilostachya		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Amelanchier.alnifolia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Andropogon.gerardii		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Androsace.septentrionalis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Anemonastrum_canadense		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Anenome.cylindrica		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Anenome.multifida		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Antecedant.Precip		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Antecedant.Temp		decimal								True			^[-+]?\d*\.?\d+$					
CommunityCompositionData	General		Antennaria.neglecta		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Antennaria.parvifolia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Anticlea.elegans		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Arabis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Arctostaphylos.uva-ursi		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Argentina.anserina		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Arnica.fulgens		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Artemisia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Artemisia.campestris		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Artemisia.cana		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Artemisia.frigida		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Artemisia.ludoviciana		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Asclepias.speciosa		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Aspect		WhitespaceMinimizedString	Aspect						True				^.{0,50}$					
CommunityCompositionData	General		Aster.laevis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Aster.unknown		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus.agrestis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus.bisulcatus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus.canadensis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus.cicer		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus.missouriensis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Astragalus.pectinatus		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Bare.Ground		decimal								True			^[-+]?\d*\.?\d+$					
CommunityCompositionData	General		Bouteloua.gracilis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Bromus.inermis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Calamagrostis.stricta		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Calamovilfa.longifolia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Campanula.alaskana		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Carex		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Cerastium.arvense		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Chenopodiaceae		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Chenopodium.album		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Cirsium.arvense		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Cirsium.arvense.2		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Cirsium.flodmanii		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Collomia.linearis		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Comandra.umbellata		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Crisium		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Current.Precip		decimal							True				^[-+]?\d*\.?\d+$					
CommunityCompositionData	General		Current.Temp		decimal							True				^[-+]?\d*\.?\d+$					
CommunityCompositionData	General		Dalea.candida		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Dalea.purpurea		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Date		DateTime							True				^(\d{4})-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$					
CommunityCompositionData	General		Descurainia.sophia		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Elaeagnus.commutata		decimal								True			^-?[0-9]+$					
CommunityCompositionData	General		Elymus.repens		decimal								True			^-?[0-9]+$					
