title	name	text	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
aspect	aspect								
		Community		Community Plot					
		Focal		Focal Plot					
plant	plant								
		CL		Calamovilfa longifolia					
		DP		Dalea purpurea					
		LL		Linum lewisii					
		NV		Nasella viridula					
site	site								
		ASQ		NCC Asquith					
		BFP		Buffalo Pound					
		BID		Biddulph					
		CDE		Condie					
		CFL		Cranberry Flats					
		CPH		Camp Hughes					
		DOG		Douglas					
		DUN		Dundurn					
		ECV		Echo valley					
		ESL		East Shoal Lake					
		FEL		Fort Ellice – St. Lazare					
		GLE		Grasslands E (west block)					
		GLW		Grasslands W (west block)					
		GWR		Goodwater					
		HDM		Horod Moraine – Onanole					
		HZN		Hazen					
		LAM		Lake Alma					
		MAN		Manitou					
		MAT		Matador					
		MAY		Maymonyt					
		MCK		McKinney					
		RBL		Redberry lake					
		SLO		CFB Shilo					
		STD		St. Denis					
		YQP		Yellow Quill Prairie					
