title	name	text	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
access_training	access_training								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
act_on_climate	act_on_climate								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
attention_check	attention_check								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
break_up_big_tech	break_up_big_tech								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_if_cheaper_icecream	buy_if_cheaper_icecream								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_if_cheaper_nuggets	buy_if_cheaper_nuggets								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_if_cheaper_salmon	buy_if_cheaper_salmon								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_if_healthier_icecream	buy_if_healthier_icecream								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_if_healthier_nuggets	buy_if_healthier_nuggets								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_if_healthier_salmon	buy_if_healthier_salmon								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_instead_icecream	buy_instead_icecream								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_instead_nuggets	buy_instead_nuggets								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_instead_salmon	buy_instead_salmon								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_regular_cell_icecream	buy_regular_cell_icecream								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_regular_cell_nuggets	buy_regular_cell_nuggets								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
buy_regular_cell_salmon	buy_regular_cell_salmon								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
city_only_access	city_only_access								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
city_only_jobs	city_only_jobs								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
climate_biodiversity_loss	climate_biodiversity_loss								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
climate_ecosystem	climate_ecosystem								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
climate_not_urgent	climate_not_urgent								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
community_owned_model	community_owned_model								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
conventional_farmers_opportunity	conventional_farmers_opportunity								
		Agree		AG					
		Disagree		DA					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
corp_patents_limit_knowledge	corp_patents_limit_knowledge								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
education_level	education_level								
		Apprenticeship or trades		AT					
		College or other non-university level		CNU					
		Prefer not to say		PNS					
		Primary or elementary school		PES					
		Professional school		PS					
		Secondary (high school diploma or equivalent)		SEC					
		University bachelor level degree		UBD					
		University graduate school		UGS					
env_impact_beef	env_impact_beef								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
env_impact_chicken	env_impact_chicken								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
		Strongly agree		SA					
		Strongly disagree		SD					
env_impact_fish	env_impact_fish								
		Agree		AG					
		Disagree		DA					
		Don't know		DK					
		Mildly agree		MA					
		Mildly disagree		MD					
		Neither agree nor disagree		NAD					
