title	name	text	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
FILE_TYPE	FILE_TYPE								
		01		Pedigree					
		02		Calving					
		03		Production					
		04		Events					
		05		Genotype					
		06		Milk data					
PROJECT	PROJECT								
		0001		NDGP					
		0010		NAEX					
		0100		RDGP					
		0101		RDGP & NDGP					
		0110		RDGP & NAEX					
		1000		EDGP					
		1010		EDGP & NAEX					
		1100		EDGP & RDGP					
		1101		EDGP & RDGP & NDGP					
		1110		EDGP & RDGP & NAEX					
		1111		EDGP & RDGP & NDGP & NAEX					
TRANSACTION_TYPE	TRANSACTION_TYPE								
		D		Delete					
		U		Update					
