folder	prefix	title	name	text	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
ACTIVATE	ACTIVATE	Expt	Expt								
ACTIVATE	ACTIVATE		Expt	ACTIVATE 2024 Clavet Lentil		ACTIVATE 2024 Clavet Lentil					
ACTIVATE	ACTIVATE		Expt	ACTIVATE 2024 Hunter Lentil		ACTIVATE 2024 Hunter Lentil					
ACTIVATE	ACTIVATE		Expt	ACTIVATE 2025 Clavet Wheat		ACTIVATE 2025 Clavet Wheat					
ACTIVATE	ACTIVATE		Expt	ACTIVATE 2025 Hunter Wheat		ACTIVATE 2025 Hunter Wheat					
ACTIVATE	ACTIVATE	Lodging	Lodging								
ACTIVATE	ACTIVATE		Lodging	1		Upright					
ACTIVATE	ACTIVATE		Lodging	5		Prostate					
ACTIVATE	ACTIVATE	Type	Type								
ACTIVATE	ACTIVATE		Type	Check		Check					
ACTIVATE	ACTIVATE		Type	Treatment		Treatment					
BENEFIT	BENEFIT	Province	Province								
BENEFIT	BENEFIT		Province	AB		Alberta					
BENEFIT	BENEFIT		Province	BC		British Columbia					
BENEFIT	BENEFIT		Province	MB		Manitoba					
BENEFIT	BENEFIT		Province	NB		New Brunswick					
BENEFIT	BENEFIT		Province	NL		Newfoundland and Labrador					
BENEFIT	BENEFIT		Province	NS		Nova Scotia					
BENEFIT	BENEFIT		Province	NT		Northwest Territories					
BENEFIT	BENEFIT		Province	NU		Nunavut					
BENEFIT	BENEFIT		Province	ON		Ontario					
BENEFIT	BENEFIT		Province	PE		Prince Edward Island					
BENEFIT	BENEFIT		Province	QC		Quebec City					
BENEFIT	BENEFIT		Province	SK		Saskatchewan					
BENEFIT	BENEFIT		Province	YT		Yukon					
BENEFIT	BENEFIT	Soil_type	Soil_type								
BENEFIT	BENEFIT		Soil_type	Bulk		Bulk soil					
BENEFIT	BENEFIT		Soil_type	Rhizosphere		Rhizosphere soil					
BENEFIT	CCASM	is_plant_pathogen	is_plant_pathogen								
BENEFIT	CCASM		is_plant_pathogen	No		No					
BENEFIT	CCASM		is_plant_pathogen	Unknown		Unknown					
BENEFIT	CCASM		is_plant_pathogen	Yes		Yes					
BENEFIT	CCASM	isolation_protocol	isolation_protocol								
BENEFIT	CCASM		isolation_protocol	Nodule trapping		Nodule trapping experiment					
BENEFIT	CCASM		isolation_protocol	Other		Other method as indicated in notes					
BENEFIT	CCASM		isolation_protocol	Soil dilution		Soil dilution plating					
